,team,points
0,Aston Villa,48
1,Blackburn,43
2,Bolton,46
3,Chelsea,71
4,Sunderland,47
5,Tottenham,62
6,Wigan,42
7,Wolves,40
8,Liverpool,58
9,Man United,80
10,Arsenal,68
11,Birmingham,39
12,Everton,54
13,Stoke,46
14,West Brom,47
15,West Ham,33
16,Fulham,49
17,Newcastle,46
18,Man City,71
19,Blackpool,39
