,team,points
0,Arsenal,79
1,Liverpool,84
2,Norwich,33
3,Sunderland,38
4,Swansea,42
5,West Brom,36
6,West Ham,40
7,Chelsea,82
8,Crystal Palace,45
9,Man City,86
10,Aston Villa,38
11,Everton,72
12,Fulham,32
13,Hull,37
14,Newcastle,49
15,Southampton,56
16,Stoke,50
17,Cardiff,30
18,Tottenham,69
19,Man United,64
