,team,points
0,Arsenal,75
1,Leicester,41
2,Man United,70
3,QPR,30
4,Stoke,54
5,West Brom,44
6,West Ham,47
7,Liverpool,62
8,Newcastle,39
9,Burnley,33
10,Aston Villa,38
11,Chelsea,87
12,Crystal Palace,48
13,Everton,47
14,Southampton,60
15,Swansea,56
16,Hull,35
17,Sunderland,38
18,Tottenham,64
19,Man City,79
