,team,points
0,Arsenal,73
1,Fulham,43
2,Newcastle,41
3,QPR,25
4,Reading,28
5,West Brom,49
6,West Ham,46
7,Man City,78
8,Wigan,36
9,Everton,63
10,Chelsea,75
11,Aston Villa,41
12,Man United,89
13,Norwich,44
14,Southampton,41
15,Swansea,46
16,Tottenham,72
17,Liverpool,61
18,Stoke,42
19,Sunderland,39
