,team,points
0,Bournemouth,42
1,Chelsea,50
2,Everton,47
3,Leicester,81
4,Man United,66
5,Norwich,34
6,Arsenal,71
7,Newcastle,37
8,Stoke,51
9,West Brom,43
10,Aston Villa,17
11,Southampton,63
12,Sunderland,39
13,Swansea,47
14,Tottenham,70
15,Watford,45
16,West Ham,62
17,Crystal Palace,42
18,Man City,66
19,Liverpool,60
