,team,points
0,Blackburn,31
1,Fulham,52
2,Liverpool,52
3,Newcastle,65
4,QPR,37
5,Wigan,43
6,Stoke,45
7,West Brom,47
8,Man City,89
9,Arsenal,70
10,Aston Villa,38
11,Chelsea,64
12,Everton,56
13,Sunderland,45
14,Swansea,47
15,Bolton,36
16,Norwich,47
17,Wolves,25
18,Man United,89
19,Tottenham,69
