,team,points
0,Arsenal,63
1,Brighton,40
2,Chelsea,70
3,Crystal Palace,44
4,Everton,49
5,Southampton,36
6,Watford,41
7,West Brom,31
8,Man United,81
9,Newcastle,44
10,Bournemouth,44
11,Burnley,54
12,Leicester,47
13,Liverpool,75
14,Stoke,33
15,Swansea,33
16,Huddersfield,37
17,Tottenham,77
18,Man City,100
19,West Ham,42
